# initial holdings -- begin
account,email,owner,marketplace,session,cash,Share
roused-nipper,Surfer1@bmm,4876,295,6066,0,5
roused-nipper,Surfer2@bmm,4877,295,6066,3800,2
roused-nipper,Surfer3@bmm,4878,295,6066,0,5
roused-nipper,Surfer4@bmm,4879,295,6066,3800,2
roused-nipper,Surfer5@bmm,4880,295,6066,0,5
roused-nipper,Surfer6@bmm,4881,295,6066,3800,2
roused-nipper,Surfer7@bmm,4882,295,6066,0,5
roused-nipper,Surfer8@bmm,4883,295,6066,3800,2
roused-nipper,Surfer9@bmm,4884,295,6066,0,5
roused-nipper,Surfer10@bmm,4885,295,6066,3800,2
roused-nipper,Surfer11@bmm,4886,295,6066,0,5
roused-nipper,Surfer12@bmm,4887,295,6066,3800,2
roused-nipper,Surfer13@bmm,4888,295,6066,0,5
roused-nipper,Surfer14@bmm,4889,295,6066,3800,2
roused-nipper,Surfer15@bmm,4890,295,6066,0,5
roused-nipper,Surfer16@bmm,4891,295,6066,3800,2
roused-nipper,Surfer17@bmm,4892,295,6066,0,5
roused-nipper,Surfer18@bmm,4893,295,6066,3800,2
roused-nipper,Surfer19@bmm,4894,295,6066,0,5
roused-nipper,Surfer20@bmm,4895,295,6066,3800,2
roused-nipper,Surfer21@bmm,4896,295,6066,0,5
roused-nipper,Surfer22@bmm,4897,295,6066,3800,2
roused-nipper,Surfer23@bmm,4942,295,6066,0,5
roused-nipper,Surfer24@bmm,4943,295,6066,3800,2
roused-nipper,Surfer25@bmm,4953,295,6066,0,5
# initial holdings -- end



# orders -- begin
account,email,owner,marketplace,session,period,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate
# orders -- end



# final holdings -- begin
account,email,owner,marketplace,session,cash,Share
roused-nipper,Surfer1@bmm,4876,295,6066,0,5
roused-nipper,Surfer2@bmm,4877,295,6066,3800,2
roused-nipper,Surfer3@bmm,4878,295,6066,0,5
roused-nipper,Surfer4@bmm,4879,295,6066,3800,2
roused-nipper,Surfer5@bmm,4880,295,6066,0,5
roused-nipper,Surfer6@bmm,4881,295,6066,3800,2
roused-nipper,Surfer7@bmm,4882,295,6066,0,5
roused-nipper,Surfer8@bmm,4883,295,6066,3800,2
roused-nipper,Surfer9@bmm,4884,295,6066,0,5
roused-nipper,Surfer10@bmm,4885,295,6066,3800,2
roused-nipper,Surfer11@bmm,4886,295,6066,0,5
roused-nipper,Surfer12@bmm,4887,295,6066,3800,2
